sku,Товар,Цена Kaspi,Продавать
1286200200,"Матрас ортопедический ""ATLAS coffe"" (жесткий) 2,00*2,00",232100,да
1286180200,"Матрас ортопедический ""ATLAS coffe"" (жесткий) 1,80*2,00",213600,да
1287090200,"Наматрасник непромокаемый AQUAPROTECT 0,90*2,00",18200,да
1296120200,"Кровать LEO Velutto 08 1,20*2,00",239400,да
1296140200,"Кровать LEO Velutto 08 1,40*2,00",244350,да
1296160200,"Кровать LEO Velutto 08 1,60*2,00",249300,да
1296180200,"Кровать LEO Velutto 08 1,80*2,00",255600,да
1297160200,"Кровать LEO Velutto 12 1,60*2,00",249300,да
1297180200,"Кровать LEO Velutto 12 1,80*2,00",255600,да
1298140200,"Кровать ЭРНИ Fortis 910 1,40*2,00",288000,да
1298160200,"Кровать ЭРНИ Fortis 910 1,60*2,00",294300,да
1298180200,"Кровать ЭРНИ Fortis 910 1,80*2,00",303750,да
1299140200,"Кровать ЭРНИ Fortis 960 1,40*2,00",288000,да
1299160200,"Кровать ЭРНИ Fortis 960 1,60*2,00",294300,да
1299180200,"Кровать ЭРНИ Fortis 960 1,80*2,00",303750,да
1329090200,"Матрас ортопедический ""LUNO"" 0,90*2,00",75000,да
1329180200,"Матрас ортопедический ""LUNO"" 1,80*2,00",109800,да
1329140200,"Матрас ортопедический ""LUNO"" 1,40*2,00",93500,да
1329120200,"Матрас ортопедический ""LUNO"" 1,20*2,00",85700,да
1329160200,"Матрас ортопедический ""LUNO"" 1,60*2,00",102000,да
1330090200,"Матрас ортопедический ""VELARIS"" 0,90*2,00",79400,да
1330180200,"Матрас ортопедический ""VELARIS"" 1,80*2,00",117500,да
1330140200,"Матрас ортопедический ""VELARIS"" 1,40*2,00",99900,да
1330120200,"Матрас ортопедический ""VELARIS"" 1,20*2,00",91200,да
1330160200,"Матрас ортопедический ""VELARIS"" 1,60*2,00",108800,да
1333090200,"Кровать Агата Ткань Umbra 110 0,90*2,00",240300,да
1333120200,"Кровать Агата Ткань Umbra 110 1,20*2,00",262800,да
1333140200,"Кровать Агата Ткань Umbra 110 1,40*2,00",285300,да
1333160200,"Кровать Агата Ткань Umbra 110 1,60*2,00",291600,да
1333180200,"Кровать Агата Ткань Umbra 110 1,80*2,00",300600,да
1334090200,"Кровать Агата Ткань Umbra 900 0,90*2,00",240300,да
1334120200,"Кровать Агата Ткань Umbra 900 1,20*2,00",262800,да
1334140200,"Кровать Агата Ткань Umbra 900 1,40*2,00",285300,да
1334160200,"Кровать Агата Ткань Umbra 900 1,60*2,00",291600,да
1334180200,"Кровать Агата Ткань Umbra 900 1,80*2,00",300600,да
1336200200,"Матрас ортопедический ""SULTAN MINI"" 2,00*2,00",210100,да
1336180200,"Матрас ортопедический ""SULTAN MINI"" 1,80*2,00",188800,да
